ACKIT,10.1,10.17
ACKIW,1.1946,1.1999
ADOCR,0.54,0.51
ALACW,1.09,1.1
ARKOW,2,2
BIS,17.78,17.8607
BSCE,26.18,26.415
BSMO,25.68,25.81
COMSW,1.44,1.4
CUENW,1.06,1.06
EVSTC,99.85,99.98
GLAQ,10.11,10.15
GLAQW,1.13,1.1
IBTA,25.14,25.35
IBTB,25.31,25.42
IBTK,23.95,23.9684
KINZ,10.17,10.25
KRNLU,10.26,10.36
MRAC,10.5,10.565
MTACW,2.27,1.75
NHLDW,0.1197,0.111
PHIOW,0.4201,0.4082
SHIPW,0.0901,0.09
SHV,110.14,110.52
SQQQ,12.14,12.26
SVA,6.47,6.47
